"Tabela 3.4 - Rendimento mensal real domiciliar per capita, por sexo e cor ou raça, e razão de rendimentos, com indicação do coeficiente de variação, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Municípios das Capitais","Rendimento mensal efetivo domiciliar per capita médio das pessoas residentes em arranjos domiciliares (R$)",,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Homens,,,,,,Mulheres,,,,,,"Preta ou parda / Branca (B/A)",,"Homens pretos ou pardos /
Homens brancos (D/C)",,"Mulheres brancas /
Homens brancos (D/C)",,"Mulheres pretas ou pardas
/ Homens brancos (F/C)",
,Total,,"Cor ou raça",,,,Total,,"Cor ou raça",,,,"Total ",,"Cor ou raça",,,,,,,,,,,
,,,"Branca (A)",,"Preta ou parda (B)",,,,"Branca (C)",,"Preta ou parda (D)",,,,"Branca (E)",,"Preta ou parda (F)",,,,,,,,,
,Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)"
"Rio de Janeiro",1645.9268869005462,2.9103227876351068,2210.9156615517054,3.543748492710814,1172.530568742198,6.682068043257333,1653.6231013261681,3.039485522142124,2200.930713155403,3.7712469462309994,1223.0527769927228,2.7138173727280024,1639.158714152056,2.961100183193123,2219.1960555674113,3.626006134805414,1125.8031635829118,2.247403948129049,53.033708573002336,7.073222301992155,55.56979916188601,3.6379445273762125,100.82989175001433,2.0841270561056255,51.15123147011222,3.7067350725931947
"Rio de Janeiro",2297.1986566423343,4.490591761837208,3050.004248328673,4.9516882804296545,1542.534109838496,9.790817717016969,2335.050922938218,4.786279564709268,3092.5775949953186,5.356712317623928,1630.732180522712,4.6102566416850745,2265.12124971419,4.449804471882776,3015.990781869834,4.955378933836372,1463.131115529733,4.071204613431382,50.57481840176998,10.192019037594422,52.73051784251772,5.454210040616212,97.5235281646797,2.7818402207908917,47.311055926211864,5.5937245488872325
"São Paulo",1834.6000435313217,4.007317360690175,2260.110601111106,4.919197989079825,1146.089976935657,9.700749284807614,1868.8650055652308,4.313584944729152,2317.18456091975,5.405026046748422,1167.610135400796,2.5667464266526676,1803.21232020929,3.9761374785031944,2209.274757027719,4.825257174716884,1125.6198586766368,2.613011958803376,50.70946423472466,10.675907467091656,50.389172925325454,5.631963217088933,95.34306391851675,2.8027679910477925,48.57704809796633,5.530519153726423
"São Paulo",2406.322656477982,6.590085135396882,3123.414713636388,7.582771425590843,1270.363256691136,18.643596401332584,2415.9710538912336,6.390316295074898,3159.959524776415,7.2829538092637,1266.9568533580293,5.349289219340127,2397.832082850111,7.308720458054517,3092.1764954571036,8.607868785860433,1273.4765713168567,5.3005423879298,40.67225690987845,19.744684422644614,40.094084858497474,8.208861120788479,97.85493995135562,5.226631675160866,40.300407689777686,7.84264087915124
Sul,1606.1965433447976,1.6013379154177159,1782.5648401428912,1.6614724940772239,1087.7845480659753,2.722673764829897,1624.133257681945,1.7123792979427412,1804.171251538973,1.7862068244967697,1120.1537473102708,2.0254858215657654,1589.1819417551933,1.5919630742908097,1762.5341812188717,1.6599194963842532,1055.0269170748618,1.8569218606856817,61.02356130724411,2.7664319846907275,62.08688595136246,2.1204798327459993,97.69217748677768,0.9116402734681741,58.47709391084217,2.057985948369953
Paraná,1557.2738034339131,2.9583631469538134,1799.699168641796,3.2147367379512044,1062.775450827178,5.443820733900103,1578.3039193942336,3.090528925674042,1821.4117925171452,3.3810524619273687,1100.9621225739784,2.986880179753933,1537.2109679276175,3.0023567053815556,1779.386715838504,3.2583683143485254,1025.1933698622795,2.7610109594384284,59.05295003437922,5.598535061143039,60.44553609991053,3.2861327493970047,97.69271963367693,1.6569487855136276,56.28564468913908,3.295677312034548
Curitiba,2414.297276250318,5.500850980167498,2718.3881951934927,5.834901736940113,1442.9227282982943,10.992638545875733,2463.1743770837015,5.243964007047125,2776.6951634191805,5.496982296271883,1530.8644627396677,7.619434266425025,2370.0430291082425,6.130343093258794,2667.1010019750524,6.558921045134876,1356.9879157182154,7.705435153567566,53.08008366316454,11.633742710237104,55.13260810576644,8.66499590714278,96.05307190764233,3.410685748527529,48.87061185525461,8.11342596232259
"Santa Catarina",1604.966094663361,1.8362528671138196,1699.9421075502157,1.8895186756248998,1220.9489480429593,2.630799891220568,1618.7102101033358,1.8299183044268388,1712.7060336078907,1.9041734191628312,1251.7288311146938,3.117436709974592,1591.8064005184738,2.0352727374477473,1687.8953154259339,2.124029954620734,1189.612627276911,3.211003841146867,71.82297224241755,2.62431835861431,73.0848614153517,3.226011106947639,98.55137322487899,1.4256281186625783,69.45807417814368,2.9445493635171367
Florianópolis,2620.726447753061,6.536986918073495,2761.253900476324,6.379481411951238,2034.466896606055,8.658468693274356,2720.5989684094716,7.279011539823734,2853.4100337521118,7.168648631726124,2256.2152086444207,15.087763992477884,2530.0526576398324,6.344127850663833,2681.6184142169986,6.329704463716815,1784.9963117761347,12.217242394076825,73.67909543758738,7.092536387754474,79.07083741755805,14.363838219918284,93.97942750943457,4.394169299734291,62.55660037155407,11.675749258880325
"Rio Grande do Sul",1656.022147308353,2.763472096282177,1820.7386465068423,2.7936888215688525,1050.0800503137089,4.843989943647596,1673.9220748785715,3.0609364225066957,1848.784004745189,3.0953598041217583,1074.387673280004,3.9852394271187705,1639.2372182576412,2.6316845257806745,1795.2268196079224,2.6927899696389557,1024.4525774369774,3.493608038928331,57.67329936827167,4.954168899564375,58.113206871242,4.195915708802636,97.10311291098344,1.518459790462527,55.41223716819067,4.0151384691979235
